indicator_label,indicator_name,indicator_category,indicator_target,indicator_GAP_category,evaluator_name,evaluator_flag,evaluator_comments,connection_human_health,connection_animal_health,connection_plant_health,connection_environmnental_health,AT1_health_systems_usability,AT1_health_systems_action,AT2_pandemic_zoonoses_usability,AT2_pandemic_zoonoses_action,AT3_endemic_zoonoses_usability,AT3_endemic_zoonoses_action,AT4_food_safety_usability,AT4_food_safety_action,AT5_antimicrobial_resistance_usability,AT5_antimicrobial_resistance_action,AT6_environment_usability,AT6_environment_action
11.CY.4,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services)",complementary,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,similar rationale as for 11.CY.4,directly connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,directly usable,action 2.1,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.3
11.CY.5,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population",complementary,target 11,Nature’s contributions to people,Gabriel Munoz Acevedo,,"natural disasters are part of ecological processes. unless disasters are increased in frequency due to anthropogenic causes, i feel has no impact on animal-plant-ecosystem as they evolved with them",directly connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
12.1,Average share of the built-up area of cities that is green or blue space for public use for all,headline,target 12,Urban areas,Elodie Eiffener,,"Indicator = positive for H. More green/blue space is better for mental health, recreation, creates habitat, reduces urban heat island effects, increases physical activity, ...",directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,usable after adaptation,action 3.1,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.1
12.b,Number of countries with biodiversity-inclusive urban planning referring to green or blue urban spaces,binary,target 12,Urban areas,Elodie Eiffener,,Indicator = positive for H. Biodiversity-inclusive urban planning means increased biodiversity which in turn influences H. Influences H through 2+ pathways: number - urban planning - biodiversity - H,potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,usable after adaptation,action 2.1,usable after adaptation,action 3.1,not usable,none,not usable,none,usable after adaptation,action 6.1
12.CT.1,Singapore Index on Cities’ Biodiversity,component,target 12,Urban areas,Elodie Eiffener,,Indicator = positive for H. Self-assessment tool (subjective). Good index means more biodiversity means better H,indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
13.b,"Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",binary,target 13,Access and benefit-sharing,Francis Banville,,,directly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
13.CT.1,Total number of internationally recognized certificates published on the Access and Benefit-sharing Clearing-House,component,target 13,Access and benefit-sharing,Francis Banville,,,directly connected,not connected,not connected,not connected,not usable,none,directly usable,action 2.3,directly usable,action 3.2,directly usable,action 4.3,directly usable,action 5.1,not usable,none
13.CY.1,Total number of transfers of crop material from the Multilateral System of the International Treaty on Plant Genetic Resources for Food and Agriculture received in a country,complementary,target 13,Access and benefit-sharing,Francis Banville,,,directly connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,not usable,none
14.b,"Number of countries integrating biodiversity and its multiple values into policies, regulations, planning, development processes, poverty eradication strategies and, as appropriate, national accounts, within and across all levels and across all sectors, and progressively aligning all relevant public and private activities and fiscal and financial flows with the goals and targets of the Framework",binary,target 14,Mainstreaming,Francis Banville,,,indirectly connected,potentially connected,potentially connected,indirectly connected,usable after adaptation,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.2,usable after adaptation,action 4.2,usable after adaptation,action 5.3,directly usable,action 6.2
14.CT.1,"Integration of biodiversity into national accounting and reporting systems, defined as implementation of the System of Environmental-Economic Accounting",component,target 14,Mainstreaming,Francis Banville,🚩,,potentially connected,potentially connected,potentially connected,indirectly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.2
15.1,"Number of companies disclosing their biodiversity-related risks, dependencies and impacts",headline,target 15,Mainstreaming,Francis Banville,,,not connected,not connected,not connected,potentially connected,not usable,none,usable after adaptation,action 2.3,usable after adaptation,action 3.2,usable after adaptation,action 4.2,usable after adaptation,action 5.1,directly usable,action 6.1
15.b,"Number of countries with legal, administrative or policy measures aimed at encouraging and enabling business and financial institutions, and in particular for large and transnational companies and financial institutions, to progressively reduce their negative impacts on biodiversity, increase their positive impacts, reduce their biodiversity-related risks and promote actions to ensure sustainable patterns of production",binary,target 15,Mainstreaming,Francis Banville,,,potentially connected,potentially connected,potentially connected,directly connected,not usable,none,usable after adaptation,action 2.3,usable after adaptation,action 3.2,usable after adaptation,action 4.2,usable after adaptation,action 5.1,directly usable,action 6.1
15.CT.1,Number of companies publishing sustainability reports,component,target 15,Mainstreaming,Francis Banville,,,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
15.CY.1,Number of organizations within the country that have signalled an intent to start adopting the recommendations of the Taskforce on Nature-related Financial Disclosures,complementary,target 15,Mainstreaming,Francis Banville,,,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.2
16.b,"Number of countries developing, adopting or implementing policy instruments aimed at encouraging and enabling people to make sustainable consumption choices",binary,target 16,Consumption,Elodie Eiffener,,Indicator = positive for H. Sustainable consumption in general a healthier choice (e.g. raw and local products) and also better for the environment.   Influences H through 2+ pathways: number - policy instruments - sustainable consumption - H,potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.1
16.CT.1,Food waste index,component,target 16,Consumption,Elodie Eiffener,,"Indicator = positive for H. Good index means less food waste means better H. Examples: food security, less food-borne illnesses, better air quality (landfills emit methane and VOC), reducing wildlife exposure (and spread of zoonoses), climate impact, soil and water quality. ",indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
16.CT.2,"Material footprint, material footprint per capita, and material footprint per GDP",component,target 16,Consumption,Elodie Eiffener,,Indicator = negative for H. The higher the footpring the worse for H. Material footprint means in general more waste and pollution that in turn affect H and the ecosystems,indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
16.CT.3,Ecological footprint,component,target 16,Consumption,Elodie Eiffener,,"Indicator = negative for H. The higher the footprint the worse for H. Connects to material footprint. Examples: climate change, pollution, unsustainable land use and farming. Human health mostly indirectly affected through for instance the examples mentioned. ",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
16.CY.1,Extent to which (i) global citizenship education and (ii) education for sustainable development are mainstreamed in (a) national education policies; (b) curricula; (c) teacher education and (d) student assessment,complementary,target 16,Consumption,Elodie Eiffener,,Indicator = positive for H. Education and knowledge are crucial in sustainable development and One Health. Important indicator but influences H through 2+ pathways: Education extent - education - knowledge - behaviour - H,potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.1,usable after adaptation,action 2.3,usable after adaptation,action 3.1,directly usable,action 4.2,not usable,none,directly usable,action 6.4
16.CY.2,"National recycling rate, tons of material recycled",complementary,target 16,Consumption,Elodie Eiffener,,Indicator = positive for H. More recycling means less pollution which has less impact on H and environment,indirectly connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
16.CY.3,Human Appropriation of Net Primary Production,complementary,target 16,Consumption,Francis Banville,,,indirectly connected,potentially connected,potentially connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.1
16.CY.4,CO2 emission per unit of value added,complementary,target 16,Consumption,Francis Banville,,,indirectly connected,indirectly connected,indirectly connected,indirectly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
16.CY.5,Change in water-use efficiency over time,complementary,target 16,Consumption,Francis Banville,,,directly connected,indirectly connected,indirectly connected,directly connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.1,usable after adaptation,action 5.1,directly usable,action 6.1
16.CY.6,Indicators from the Life Cycle Impact Assessment Programme,complementary,target 16,Consumption,Francis Banville,,,potentially connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.1
16.CY.7,Poverty level,complementary,target 16,Consumption,Elodie Eiffener,,Indicator = negative for H. Low socioeconomic status is significantly linked with health and wellbeing in humans. In turn also less animal welfare and often poorer environment. ,directly connected,directly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,usable after adaptation,action 3.3,not usable,none,not usable,none,not usable,none
17.b,Number of countries that have taken action to implement biosafety measures as set out in Article 8(g) of the Convention and measures for the handling of biotechnology and the distribution of its benefits as set out in Article 19,binary,target 17,Biosafety and biotechnology,Francis Banville,,,directly connected,potentially connected,not connected,potentially connected,not usable,none,directly usable,action 2.3,directly usable,action 3.1,directly usable,action 4.2,directly usable,action 5.2,usable after adaptation,action 6.1
17.CY.1,Indicators related to the Cartagena Protocol on Biosafety,complementary,target 17,Biosafety and biotechnology,Francis Banville,,,directly connected,potentially connected,not connected,potentially connected,not usable,none,directly usable,action 2.3,directly usable,action 3.1,directly usable,action 4.2,directly usable,action 5.2,usable after adaptation,action 6.1
18.1,Positive incentives in place to promote biodiversity conservation and sustainable use,headline,target 18,Mainstreaming,Elodie Eiffener,,Indicator = positive for H. Invites/Facilitates more action on biodoversity and sustainabilty issues which in turn influence H.,indirectly connected,indirectly connected,indirectly connected,indirectly connected,directly usable,action 1.1,usable after adaptation,action 2.1,usable after adaptation,action 3.3,not usable,none,not usable,none,directly usable,action 6.1
18.2,Value of subsidies and other incentives harmful to biodiversity,headline,target 18,Mainstreaming,Andrea Paz Velez,🚩,,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.1
18.CT.1,Revenue generated by biodiversity-relevant tradable permits (if auctioned),component,target 18,Mainstreaming,Andrea Paz Velez,🚩,,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.2
18.CT.2,Monetary value of payments for ecosystem services,component,target 18,Mainstreaming,Andrea Paz Velez,,Depending on whether the ecosystem services can be itemized and go beyond carbon sequestration then could be usable for a variety of things,potentially connected,not connected,not connected,indirectly connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.2
18.CT.3,Monetary value of biodiversity offsets,component,target 18,Mainstreaming,Francis Banville,,,not connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
20.b,"Number of countries that have taken significant action to strengthen capacity-building and development and access to and transfer of technology, and to promote the development of and access to innovation and technical and scientific cooperation",binary,target 20,Means of implementation,Francis Banville,,,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.3,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.4
20.CT.1,"Total amount of funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",component,target 20,Means of implementation,Francis Banville,,,potentially connected,not connected,potentially connected,potentially connected,usable after adaptation,action 1.3,usable after adaptation,action 2.3,usable after adaptation,action 3.3,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.4
20.CY.1,Researchers (in full-time equivalent) per million inhabitants,complementary,target 20,Means of implementation,Francis Banville,,,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.2,usable after adaptation,action 2.3,usable after adaptation,action 3.1,usable after adaptation,action 4.3,usable after adaptation,action 5.1,usable after adaptation,action 6.4
20.CY.2,Global imports of information and communications technology goods as presented by bilateral trade flows by information and communications technology goods category,complementary,target 20,Means of implementation,Francis Banville,,,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.3,usable after adaptation,action 2.3,usable after adaptation,action 3.1,usable after adaptation,action 4.2,usable after adaptation,action 5.1,usable after adaptation,action 6.3
21.1,Indicator on biodiversity information for monitoring the Kunming-Montreal Global Biodiversity Framework,headline,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"if the kmgbf is not clear on its direct links to health outcomes, its indicator of progress is also indirectlty related",potentially connected,indirectly connected,indirectly connected,indirectly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,not usable,none,not usable,none,not usable,none
21.CT.1,Species Information Index,component,target 21,Knowledge and engagement of people,Elodie Eiffener,,Indicator = positive for H. Index informs on knowledge/data available on species. More knowledge leads to better animal/env protection measures and outcomes. nfluences H through 2+ pathways: Index - knowledge - behaviour - H,potentially connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
21.CT.2,Participation of indigenous peoples and local communities in decisionmaking related to the implementation of the Convention at all levels,component,target 21,Knowledge and engagement of people,Francis Banville,,,potentially connected,not connected,not connected,potentially connected,usable after adaptation,action 1.3,usable after adaptation,action 2.3,usable after adaptation,action 3.1,usable after adaptation,action 4.1,usable after adaptation,action 5.1,usable after adaptation,action 6.3
21.CT.3,Index of Linguistic Diversity,component,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,Influence ability to impliment other indicators? ,not connected,not connected,not connected,not connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.1,Growth in number of records and species in the Living Planet Index database,complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,Could reflect more resarch activity or adoption of open data practices. helpful to generate spatially resoluted analytical links btw biodiversity and health. Maybe well sampled areas are those with higher human impacts?,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.2,Growth in species occurrence records accessible through the Global Biodiversity Information Facility,complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 21.CY.1,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.3,Growth in marine species occurrence records accessible through the Ocean Biodiversity Information System,complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 21.CY.1,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.4,Proportion of known species assessed through the International Union for Conservation of Nature Red List of Threatened Species,complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 21.CY.1 | IUCN assesments may include population health and status (albeit rarely and info may not be reliable at global scale),potentially connected,indirectly connected,indirectly connected,indirectly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.5,Number of assessments on the International Union for Conservation of Nature Red List of Threatened Species,complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 21.CY.1 and similar rationale as 21.CY.4,potentially connected,indirectly connected,indirectly connected,indirectly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
21.CY.6,World Association of Zoos and Aquariums bioliteracy survey (biodiversity literacy in global zoo and aquarium visitors),complementary,target 21,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"May reflect knowledge and interests of populations on biodiversity, does it reflect a non-biased sample of population",not connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.1,Land-use change and land tenure in the traditional territories of indigenous peoples and local communities,headline,target 22,Knowledge and engagement of people,Andrea Paz Velez,,might be usable if can determine the exact type of land use change,potentially connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,usable after adaptation,action 3.1,usable after adaptation,action 4.2,not usable,none,usable after adaptation,action 6.3
22.b,"Number of countries taking action towards the full, equitable, inclusive, effective and gender-responsive representation and participation in decision-making and access to justice and information related to biodiversity by indigenous peoples and local communities, respecting their cultures and their rights over lands, territories, resources and traditional knowledge, as well as by women and girls, children and youth, and persons with disabilities, and the full protection of environmental human rights defenders",binary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"Acknoweledgement of traditional knowledge and respect for traditional lands may increase the health on those marginalized populations living in those areas due to greater social representation. Hard to establish a direct connection. Canada has move towards it, but health of indigenous is still lagging. Maybe the effect on health is greater for indigeneous peoples, but negible for the rest of the population",indirectly connected,potentially connected,potentially connected,potentially connected,usable after adaptation,action 1.3,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.CT.1,"Proportion of total adult population with secure tenure rights to land, (a) with legally recognized documentation, and (b) who perceive their rights to land as secure, by sex and type of tenure",component,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,Land security = mental health? | Land security = more local conservation efforts = better environmental health,indirectly connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,usable after adaptation,action 6.2
22.CT.2,Number of verified cases of killings and other attacks against environmental human rights defenders in the previous 12 months,component,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"Attacs and environmental and human rights can indicate the presence of organized groups with interested in illegal activities with negative impacts to the population e.g. mining, logging. kills to activist also indicate permissive goverments with low control and policy placement. more violence = less mental health",directly connected,not connected,not connected,potentially connected,usable after adaptation,action 1.2,not usable,none,not usable,none,not usable,none,not usable,none,usable after adaptation,action 6.2
22.CY.1,"Proportions of positions in national and local institutions, including (a) the legislatures; (b) the public service; and (c) the judiciary, compared to national distributions, by sex, age, persons with disabilities and population groups",complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"indicates governace structure, cant find any link",not connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.CY.2,Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment,complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"indicates governace structure, cant find any link",not connected,not connected,not connected,not connected,not usable,none,not usable,,not usable,none,not usable,none,not usable,none,not usable,none
22.CY.3,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex; and (b) share of women among owners or rights-bearers of agricultural land, by type of tenure",complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,Land security = mental health? | Land security = more local conservation efforts = better environmental health,indirectly connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.CY.4,Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control,complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,Land security = mental health? | Land security = more local conservation efforts = better environmental health,potentially connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.CY.5,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group",complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,"indicates governace structure, cant find any link",not connected,not connected,not connected,not connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
22.CY.6,"Area covered by the reported territories and areas governed, managed and conserved by custodian indigenous peoples and local communities (ICCAs—territories of life)",complementary,target 22,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 22.b,indirectly connected,indirectly connected,indirectly connected,directly connected,directly usable,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,not usable,none
23.b,"Number of countries with legal, administrative or policy frameworks, inter alia, to implement the Gender Plan of Action (2023–2030), to ensure that all women and girls have equal opportunity and capacity to contribute to the three objectives of the Convention, including by ensuring women’s equal rights and access to land and natural resources",binary,target 23,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale as 22.b | Some ethnobiological work suggest that empowering women lead to better conservation outcomes ,potentially connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
23.CT.1,Proportion of seats held by women in (a) national parliaments and (b) local governments,component,target 23,Knowledge and engagement of people,Gabriel Munoz Acevedo,,governance related -- > maybe there is a link on gender equality and societal compliance with conservation efforts \ nature to health projects. IDK,potentially connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
23.CT.2,Indicator on national implementation of the Gender Plan of Action (2023-2030),component,target 23,Knowledge and engagement of people,Gabriel Munoz Acevedo,,similar rationale for 23ct1,potentially connected,not connected,not connected,potentially connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
A.1,Red List of Ecosystems,headline,goal A,Land and sea use,Gabriel Munoz Acevedo,,provide awareness and data for actionable projects directed on improving ecosystem health.,potentially connected,potentially connected,potentially connected,potentially connected,directly usable,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.2,not usable,none,directly usable,action 6.4
A.2,Extent of natural ecosystems,headline,goal A,Land and sea use,Gabriel Munoz Acevedo,,"Non-intervened land will likely have healthier ecosystems and provide more services to plant, animal, and human populations. Maybe the relationship inverts in non-developed countries, where more 'natural' ecosystems also means less state control",directly connected,directly connected,directly connected,directly connected,not usable,none,directly usable,action 2.1,not usable,none,directly usable,action 4.1,not usable,none,directly usable,action 6.1
A.3,Red List Index,headline,goal A,Species management,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.4,The proportion of populations within species with an effective population size greater than 500,headline,goal A,Species management,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CT.1,Ecosystem Intactness Index,component,goal A,none assigned,Elodie Eiffener,,Indicator = positive for H. The better the score the healthier the ecosystem and better for H. ,indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CT.2,Ecosystem Integrity Index,component,goal A,none assigned,Elodie Eiffener,,Indicator = positive for H. The better the score the healthier the ecosystem and better for H. ,directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CT.3,Species habitat Index,component,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. Proxy for potential population losses and extinction risk. Measures change. The higher the score, less habitat loss. Habitat influences animal welfare and represents plant/env health",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CT.4,Biodiversity Habitat Index,component,goal A,none assigned,Elodie Eiffener,," Indicator = positive for H. Estimates the effects of habitat loss on the expected retention of terrestrial biodiversity. The higher the score, less habitat loss. Habitat influences animal welfare and represents plants/env H",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CT.5,Biodiversity Intactness Index,component,goal A,none assigned,Elodie Eiffener,,Indicator = positive for H. Measures remains of natural biodiversity. The higher the score the more natural biodiversity and balanced ecosystem.,directly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,action 5.3,directly usable,action 6.1
A.CT.6,Protected Connected index,component,goal A,Land and sea use,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CT.7,Protected Area Representativeness and Connectedness Indices,component,goal A,none assigned,Andrea Paz Velez,,,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CT.8,Number of extinctions averted,component,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. Averted extinctions good for biodversity and ecosystem balance, and in turn H",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,not usable,none,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CT.9,Evolutionarily Distinct and Globally Endangered Index,component,goal A,none assigned,Gabriel Munoz Acevedo,,"protecting evolutionary lineages may help with population recovery. Links not clearly defined ecologically, if protected species is last of its lineage. efforts are focused and not holistic",not connected,potentially connected,potentially connected,potentially connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.1
A.CT.10,Living Planet Index,component,goal A,Species management,Gabriel Munoz Acevedo,,"tracks degradation of animal populations, population decline may correlate with other health factors due to cascading processes (e.g. lost of predators). based only in vertebrates",indirectly connected,indirectly connected,potentially connected,indirectly connected,not usable,none,not usable,none,not usable,none,directly usable,action 4.2,not usable,none,directly usable,action 6.2
A.CT.11,Wild bird index,component,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. Tracks population trends of wild birds. Wild bird conservation good for biodversity and ecosystem balance, and in turn H",indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,directly usable,action 2.1,usable after adaptation,action 3.1,not usable,none,not usable,none,directly usable,action 6.1
A.CY.1,Forest area as a proportion of total land area,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. However, as far as i know, forest alone does not mean biodiversity. Yet, forest creates habitat, climate change mitigation, good air quality, ..",indirectly connected,indirectly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.2,Rate of tree cover loss,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = negative for H. Higher rate means less trees, means less H benefits from trees",potentially connected,potentially connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,not usable,none,not usable,none,directly usable,action 6.1
A.CY.3,Mountain Green Cover Index,complementary,goal A,none assigned,Andrea Paz Velez,,this goes 2 ways can speak of health of the environment but it also increases as glaciers retreat which speaks of problems. Hard to adapt ,not connected,not connected,not connected,directly connected,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none,not usable,none
A.CY.4,Continuous Global Mangrove Forest Cover,complementary,goal A,none assigned,Elodie Eiffener,,"Indicator = positive for H. The more mangrove forests the better for the environment and H. Examples. better water quality, food safety and livelihood for people, disaster management/preparedness, habitat, carbon sequestration",indirectly connected,indirectly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
A.CY.5,Mangrove forest fragmentation,complementary,goal A,none assigned,Elodie Eiffener,,Indicator = negative for H. Fragmentation means ecosystem degradation with worse H consequences,indirectly connected,directly connected,directly connected,directly connected,usable after adaptation,action 1.2,usable after adaptation,action 2.1,not usable,none,usable after adaptation,action 4.1,not usable,none,directly usable,action 6.1
